sep=,
"Rank","Jersey #","Player","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,1,"Mark Sears","Alabama Crimson Tide",37,18.7,100,21.5,1.146,13.4,6.8,6.6,50.6,60.1,12.8,18.2,0.47,11.1,50.9,7.5,4.2,3.3,56.3,5.9,2.5,3.3,43.3,0.44
2,55,"Aaron Estrada","Alabama Crimson Tide",37,14.8,100,13.3,0.898,11.8,5.3,6.5,45,50.7,15.7,5.8,0.13,3.3,40.4,7.5,4,3.5,53.1,4.4,1.4,3,31.1,0.37
3,2,"Grant Nelson","Alabama Crimson Tide",37,11.2,100,11.9,1.058,8,3.9,4.1,48.5,53.5,12.5,19.5,0.51,14.2,50.2,5.1,3.1,2,60.6,2.9,0.8,2.1,27.5,0.37
4,3,"Rylan Griffen","Alabama Crimson Tide",36,10.5,100,11.2,1.061,8.1,3.7,4.4,45.5,58.3,12.9,11.3,0.27,8.4,44.3,2.8,1.6,1.2,58,5.3,2.1,3.2,38.9,0.66
5,12,"Latrell Wrightsell Jr","Alabama Crimson Tide",31,7.6,100,9,1.173,6.5,2.9,3.6,44.8,61.8,9.3,5.5,0.13,3,43.5,1.7,0.7,1,42.3,4.9,2.2,2.6,45.7,0.74
6,23,"Nick Pringle","Alabama Crimson Tide",34,6.6,100,6.8,1.027,4.1,2.5,1.6,60.7,60.7,15.1,27.1,0.77,22.7,56,4.1,2.5,1.6,60.7,0,0,0,,0
7,24,"Sam Walters","Alabama Crimson Tide",37,5.1,100,5.4,1.064,4.1,1.7,2.4,42.4,55.3,10.2,10.2,0.25,8,43.3,1.4,0.7,0.7,49,2.7,1.1,1.6,39,0.66
7,15,"Jarin Stevenson","Alabama Crimson Tide",37,5.8,100,5.4,0.934,4.3,1.8,2.5,41.9,51.9,13.6,12.7,0.3,8.9,39.9,1.6,0.9,0.6,59.3,2.7,0.9,1.9,31.7,0.63
9,4,"Davin Cosby Jr","Alabama Crimson Tide",22,3.7,100,3.6,0.963,3.2,1.2,2,36.6,52.1,8.5,4.9,0.1,2.4,35.4,0.3,0.2,0.1,57.1,2.9,1,1.9,34.4,0.9
10,10,"Mouhamed Dioubate","Alabama Crimson Tide",31,3.6,100,3.2,0.883,2.5,1.2,1.4,46.2,46.8,9,27,0.68,22.5,48.6,2.1,1.1,1,53,0.4,0,0.4,8.3,0.15
11,11,"Mohamed Wague","Alabama Crimson Tide",33,3,100,3.1,1.02,1.8,1.1,0.7,62.7,63.6,25.3,19.2,0.58,16.2,51.5,1.7,1.1,0.6,63.2,0.1,0,0,50,0.03
12,32,"Kai Spears","Alabama Crimson Tide",11,1.1,100,1.2,1.083,0.5,0.2,0.4,33.3,41.7,16.7,33.3,1.33,16.7,50,0.3,0.1,0.2,33.3,0.3,0.1,0.2,33.3,0.5